"Category","Item","Count","Files","Recommendation"
"other","heading-2","13","app/dashboard/page.tsx; app/beta/page.tsx; app/enterprise/page.tsx; app/support/page.tsx; app/admin/invites/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/enterprise/page.tsx; app/dashboard/history/page.tsx; app/dashboard/insights/page.tsx; app/dashboard/settings/page.tsx; app/blog/[id]/page.tsx; components/billing/BillingPage.tsx; components/pricing/PricingPage.tsx","Consider tokenizing"
"other","body-lg","8","app/dashboard/page.tsx; app/blog/page.tsx; app/documents/page.tsx; app/enterprise/page.tsx; app/support/page.tsx; app/dashboard/enterprise/page.tsx; app/dashboard/insights/page.tsx; components/pricing/PricingPage.tsx","Consider tokenizing"
"spacing","mt-2","39","app/dashboard/page.tsx; app/landing/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/enterprise/page.tsx; app/dashboard/insights/page.tsx; components/ErrorBoundary.tsx; components/ErrorBoundary/GlobalErrorBoundary.tsx; components/agents/VoiceControlInterface.tsx; components/admin/CostTrackingDashboard.tsx; components/admin/MonitoringDashboard.tsx; components/admin/RealTimeCostDashboard.tsx; components/analytics/analytics-dashboard.tsx; components/analytics/report-builder.tsx; components/auth/AuthErrorHandler.tsx; components/auth/AuthModal.tsx; components/credits/CreditHUD.tsx; components/documents/AgentVisualization.tsx; components/error-tracking/ErrorReportDialog.tsx; components/layouts/NotebookLMLayout.tsx; components/navigation/ModernNavbar.tsx; components/panels/SourcesPanel.tsx; components/theme/ThemeToggle.tsx; components/security/security-dashboard.tsx; components/security/two-factor-setup.tsx; components/sections/ProductShowcase.tsx; components/ui/Toast.tsx; components/ui/UniversalDropdown.tsx; components/ui/language-selector.tsx; components/workflow/workflow-dashboard.tsx; components/workflows/WorkflowBuilder.tsx; components/workspace/ContextualAssistant.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/WorkspaceSkeleton.tsx; components/__tests__/ui/dashboard.test.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; components/workspace/dashboard/PredictiveInsights.tsx; lib/error-tracking/error-boundary.tsx","Consider tokenizing"
"other","heading-4","11","app/dashboard/page.tsx; app/documents/page.tsx; app/enterprise/page.tsx; app/support/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/settings/page.tsx; app/blog/[id]/page.tsx; components/billing/BillingPage.tsx; components/documents/BatchUpload.tsx; components/payment/PaymentResult.tsx; components/pricing/PricingPage.tsx","Consider tokenizing"
"typography","hover:text-blue-700","3","app/dashboard/page.tsx; components/invite/InviteRedemptionPage.tsx; components/__tests__/layout/navbar.test.tsx","OK"
"spacing","space-x-1","22","app/dashboard/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/workflows/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/agents/AgentSwarmInterface.tsx; components/analytics/analytics-dashboard.tsx; components/enterprise/AdvancedMetricsDashboard.tsx; components/documents/EnhancedDocumentUpload.tsx; components/mobile/SwipeableNavigation.tsx; components/onboarding/SmartUserJourney.tsx; components/performance/ComponentProfiler.tsx; components/performance/PerformanceDashboard.tsx; components/ui/BlogCard.tsx; components/ui/FeatureDiscovery.tsx; components/ui/FeatureHint.tsx; components/workflows/AutomationManager.tsx; components/workflows/TemplateMarketplace.tsx; components/workflows/WorkflowBuilder.tsx; components/workspace/ContextualAssistant.tsx; components/workspace/DocumentInteractionHub.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/dashboard/PredictiveInsights.tsx","Consider tokenizing"
"effects","hover:shadow-md","9","app/dashboard/page.tsx; app/enterprise/page.tsx; app/dashboard/agents/page.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/pricing/PricingPage.tsx; components/workflows/AutomationManager.tsx; components/workflows/TemplateMarketplace.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/PersonalizedRecommendations.tsx","Consider tokenizing"
"spacing","p-2","45","app/dashboard/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/enterprise/page.tsx; app/dashboard/insights/page.tsx; app/dashboard/workflows/page.tsx; app/dashboard/enterprise/analytics/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/agents/VoiceControlInterface.tsx; components/admin/AdminDashboard.tsx; components/accessibility/AccessibilityPanel.tsx; components/analytics/ConsentBanner.tsx; components/auth/AuthErrorHandler.tsx; components/auth/AuthModal.tsx; components/auth/InviteRedemptionModal.tsx; components/auth/UnifiedUserMenu.tsx; components/dashboard/DashboardLayout.tsx; components/enterprise/AdvancedMetricsDashboard.tsx; components/enterprise/RealtimeDataVisualization.tsx; components/documents/DocumentPreview.tsx; components/documents/DocumentViewer.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/mobile/SwipeableNavigation.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/layouts/NotebookLMLayout.tsx; components/layouts/UnifiedLayout.tsx; components/navigation/ModernNavbar.tsx; components/panels/SourcesPanel.tsx; components/ui/FeatureDiscovery.tsx; components/ui/language-selector.tsx; components/workflows/AutomationManager.tsx; components/workflows/TemplateMarketplace.tsx; components/workflows/WorkflowBuilder.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/ContextualAssistant.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/workspace/WorkspaceLayout.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; components/workspace/dashboard/PredictiveInsights.tsx","Consider tokenizing"
"colors","bg-blue-100","20","app/dashboard/page.tsx; app/demo/page.tsx; app/features/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/documents/page.tsx; app/dashboard/history/page.tsx; app/dashboard/workflows/page.tsx; app/dashboard/enterprise/analytics/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/auth/AuthErrorHandler.tsx; components/documents/DocumentPreview.tsx; components/invite/InviteRedemptionPage.tsx; components/panels/SourcesPanel.tsx; components/workflow/workflow-builder.tsx; components/workflows/AutomationManager.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/SwarmIntelligenceDashboard.tsx","Consider tokenizing"
"sizing","w-6","45","app/dashboard/page.tsx; app/features/page.tsx; app/landing/page.tsx; app/support/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/documents/page.tsx; app/dashboard/enterprise/page.tsx; app/dashboard/workflows/page.tsx; app/blog/[id]/page.tsx; app/dashboard/enterprise/analytics/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/ServiceWorkerRegistration.tsx; components/agents/AIInterfaceRefinement.tsx; components/accessibility/AccessibilityPanel.tsx; components/analytics/ConsentBanner.tsx; components/dashboard/DashboardLayout.tsx; components/enterprise/RealtimeDataVisualization.tsx; components/documents/EnhancedDocumentUpload.tsx; components/documents/SmartDocumentWorkflow.tsx; components/invite/InviteRedemptionPage.tsx; components/error-tracking/ErrorReportDialog.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/monitoring/ProductionDashboard.tsx; components/mobile/SwipeableNavigation.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/onboarding/SmartUserJourney.tsx; components/optimization/LazyComponentLoader.tsx; components/navigation/ModernNavbar.tsx; components/performance/PerformanceDashboard.tsx; components/sections/ProductShowcase.tsx; components/sections/TrustSignals.tsx; components/ui/ErrorBoundary.tsx; components/workflows/AutomationManager.tsx; components/workflows/TemplateMarketplace.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/ContextualAssistant.tsx; components/workspace/DownloadInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; components/workspace/dashboard/PredictiveInsights.tsx","Consider tokenizing"
"sizing","h-6","46","app/dashboard/page.tsx; app/features/page.tsx; app/landing/page.tsx; app/support/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/documents/page.tsx; app/dashboard/enterprise/page.tsx; app/dashboard/workflows/page.tsx; app/blog/[id]/page.tsx; app/dashboard/enterprise/analytics/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/ServiceWorkerRegistration.tsx; components/agents/AIInterfaceRefinement.tsx; components/accessibility/AccessibilityPanel.tsx; components/analytics/ConsentBanner.tsx; components/dashboard/DashboardLayout.tsx; components/enterprise/RealtimeDataVisualization.tsx; components/documents/EnhancedDocumentUpload.tsx; components/documents/SmartDocumentWorkflow.tsx; components/invite/InviteRedemptionPage.tsx; components/error-tracking/ErrorReportDialog.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/monitoring/ProductionDashboard.tsx; components/mobile/SwipeableNavigation.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/onboarding/SmartUserJourney.tsx; components/optimization/LazyComponentLoader.tsx; components/navigation/ModernNavbar.tsx; components/performance/PerformanceDashboard.tsx; components/sections/ProductShowcase.tsx; components/sections/TrustSignals.tsx; components/ui/ErrorBoundary.tsx; components/workflows/AutomationManager.tsx; components/workflows/TemplateMarketplace.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/ContextualAssistant.tsx; components/workspace/DownloadInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/WorkspaceSkeleton.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; components/workspace/dashboard/PredictiveInsights.tsx","Consider tokenizing"
"colors","bg-purple-100","17","app/dashboard/page.tsx; app/demo/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/documents/page.tsx; app/dashboard/enterprise/page.tsx; app/dashboard/insights/page.tsx; app/dashboard/workflows/page.tsx; app/dashboard/enterprise/analytics/page.tsx; components/documents/SmartDocumentWorkflow.tsx; components/invite/InviteRedemptionPage.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/panels/SourcesPanel.tsx; components/ui/FeatureDiscovery.tsx; components/workflows/AutomationManager.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; components/workspace/dashboard/PredictiveInsights.tsx","Consider tokenizing"
"typography","text-purple-600","33","app/dashboard/page.tsx; app/demo/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/documents/page.tsx; app/dashboard/enterprise/page.tsx; app/dashboard/insights/page.tsx; app/dashboard/workflows/page.tsx; app/dashboard/agents/page.tsx; app/dashboard/enterprise/analytics/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/agents/AIInterfaceRefinement.tsx; components/admin/AdminDashboard.tsx; components/documents/AgentVisualization.tsx; components/documents/EnhancedDocumentUpload.tsx; components/documents/SmartDocumentWorkflow.tsx; components/invite/InviteRedemptionPage.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/onboarding/SmartUserJourney.tsx; components/panels/SourcesPanel.tsx; components/security/security-dashboard.tsx; components/ui/FeatureDiscovery.tsx; components/workflow/workflow-dashboard.tsx; components/workflows/AutomationManager.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/PersonalizedRecommendations.tsx; components/workspace/SettingsDashboard.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; components/workspace/dashboard/PredictiveInsights.tsx","Consider tokenizing"
"colors","bg-green-100","14","app/dashboard/page.tsx; app/demo/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/documents/page.tsx; app/dashboard/workflows/page.tsx; app/dashboard/enterprise/analytics/page.tsx; components/invite/InviteRedemptionPage.tsx; components/error-tracking/ErrorReportDialog.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/sections/TrustSignals.tsx; components/workflow/workflow-builder.tsx; components/workflows/AutomationManager.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/SwarmIntelligenceDashboard.tsx","Consider tokenizing"
"colors","bg-indigo-100","3","app/dashboard/page.tsx; app/dashboard/enterprise/analytics/page.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx","OK"
"typography","text-indigo-600","8","app/dashboard/page.tsx; app/dashboard/agents/page.tsx; app/dashboard/enterprise/analytics/page.tsx; components/security/security-dashboard.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx","Consider tokenizing"
"other","from-blue-500","8","app/dashboard/page.tsx; app/landing/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/enterprise/analytics/page.tsx; components/invite/InviteRedemptionPage.tsx; components/workflows/TemplateMarketplace.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/ApiDeveloperPortal.tsx","Consider tokenizing"
"other","to-blue-600","3","app/dashboard/page.tsx; app/landing/page.tsx; components/workspace/EnterpriseDashboard.tsx","OK"
"spacing","mb-3","38","app/dashboard/page.tsx; app/blog/page.tsx; app/features/page.tsx; app/enterprise/page.tsx; app/landing/page.tsx; app/support/page.tsx; app/dashboard/workflows/page.tsx; app/blog/[id]/page.tsx; app/dashboard/agents/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/Footer.tsx; components/agents/AIInterfaceRefinement.tsx; components/agents/VoiceControlInterface.tsx; components/admin/MonitoringDashboard.tsx; components/analytics/report-builder.tsx; components/auth/CreditDisplay.tsx; components/enterprise/AdvancedMetricsDashboard.tsx; components/documents/DocumentPreview.tsx; components/documents/EnhancedDocumentUpload.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/layouts/NotebookLMLayout.tsx; components/pricing/PricingPage.tsx; components/performance/PerformanceDashboard.tsx; components/panels/ExportPanel.tsx; components/panels/SourcesPanel.tsx; components/ui/BlogCard.tsx; components/ui/FeatureHint.tsx; components/workflows/AutomationManager.tsx; components/workflows/TemplateMarketplace.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/DocumentInteractionHub.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/PersonalizedRecommendations.tsx; components/workspace/SettingsDashboard.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; components/workspace/dashboard/PredictiveInsights.tsx","Consider tokenizing"
"other","from-purple-500","8","app/dashboard/page.tsx; app/landing/page.tsx; app/dashboard/documents/page.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/onboarding/AIOnboarding.tsx; components/onboarding/SmartUserJourney.tsx; components/ui/FeatureDiscovery.tsx; components/workspace/EnterpriseDashboard.tsx","Consider tokenizing"
"other","from-indigo-500","2","app/dashboard/page.tsx; app/landing/page.tsx","OK"
"other","to-indigo-600","6","app/dashboard/page.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/onboarding/AIOnboarding.tsx; components/onboarding/SmartUserJourney.tsx; components/ui/FeatureDiscovery.tsx; components/ui/FeatureHint.tsx","Consider tokenizing"
"other","from-green-500","3","app/dashboard/page.tsx; app/landing/page.tsx; components/onboarding/AIOnboarding.tsx","OK"
"other","to-green-600","2","app/dashboard/page.tsx; app/landing/page.tsx","OK"
"other","divide-y","13","app/dashboard/page.tsx; app/dashboard/history/page.tsx; app/dashboard/workflows/page.tsx; app/dashboard/enterprise/analytics/page.tsx; components/admin/AdminDashboard.tsx; components/admin/CostTrackingDashboard.tsx; components/analytics/analytics-dashboard.tsx; components/analytics/report-builder.tsx; components/security/security-dashboard.tsx; components/workflow/workflow-dashboard.tsx; components/workflows/AutomationManager.tsx; components/workspace/EnterpriseDashboard.tsx; components/__tests__/ui/dashboard.test.tsx","Consider tokenizing"
"other","divide-gray-200","13","app/dashboard/page.tsx; app/dashboard/history/page.tsx; app/dashboard/workflows/page.tsx; app/dashboard/enterprise/analytics/page.tsx; components/admin/AdminDashboard.tsx; components/admin/CostTrackingDashboard.tsx; components/analytics/analytics-dashboard.tsx; components/analytics/report-builder.tsx; components/security/security-dashboard.tsx; components/workflow/workflow-dashboard.tsx; components/workflows/AutomationManager.tsx; components/workspace/EnterpriseDashboard.tsx; components/__tests__/ui/dashboard.test.tsx","Consider tokenizing"
"spacing","space-x-4","33","app/dashboard/page.tsx; app/dashboard/enterprise/page.tsx; app/dashboard/history/page.tsx; app/dashboard/insights/page.tsx; app/dashboard/workflows/page.tsx; app/dashboard/enterprise/analytics/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/accessibility/AccessibilityPanel.tsx; components/analytics/analytics-dashboard.tsx; components/enterprise/AdvancedMetricsDashboard.tsx; components/enterprise/RealtimeDataVisualization.tsx; components/documents/AgentVisualization.tsx; components/documents/DocumentPreview.tsx; components/monitoring/ProductionDashboard.tsx; components/onboarding/SmartUserJourney.tsx; components/navigation/ModernNavbar.tsx; components/performance/PerformanceDashboard.tsx; components/security/security-dashboard.tsx; components/ui/BlogCard.tsx; components/ui/Skeleton.tsx; components/workflows/AutomationManager.tsx; components/workflows/TemplateMarketplace.tsx; components/workflows/WorkflowBuilder.tsx; components/workspace/AnalyticsDashboard.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/PersonalizedRecommendations.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/__tests__/layout/navbar.test.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; components/workspace/dashboard/PredictiveInsights.tsx","Consider tokenizing"
"sizing","w-3/4","2","app/dashboard/page.tsx; components/optimization/LazyWrapper.tsx","OK"
"sizing","w-1/2","2","app/dashboard/page.tsx; components/optimization/LazyWrapper.tsx","OK"
"spacing","mt-4","28","app/dashboard/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/history/page.tsx; app/dashboard/settings/page.tsx; app/dashboard/agents/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/agents/AgentSwarmInterface.tsx; components/agents/VoiceControlInterface.tsx; components/analytics/ConsentBanner.tsx; components/auth/CreditDisplay.tsx; components/enterprise/RealtimeDataVisualization.tsx; components/documents/DocumentUpload.tsx; components/documents/DocumentViewer.tsx; components/documents/EnhancedDocumentUpload.tsx; components/documents/SmartDocumentWorkflow.tsx; components/onboarding/AIOnboarding.tsx; components/onboarding/SmartUserJourney.tsx; components/optimization/LazyWrapper.tsx; components/performance/ComponentProfiler.tsx; components/performance/PerformanceDashboard.tsx; components/sections/ProductShowcase.tsx; components/workflow/workflow-dashboard.tsx; components/workflows/AutomationManager.tsx; components/workflows/TemplateMarketplace.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/PredictiveInsights.tsx","Consider tokenizing"
"other","card-base","6","app/beta/page.tsx; app/support/page.tsx; app/admin/invites/page.tsx; app/admin/monitor/page.tsx; app/blog/[id]/page.tsx; components/pricing/PricingPage.tsx","Consider tokenizing"
"layout","inline-flex","20","app/beta/page.tsx; app/blog/page.tsx; app/demo/page.tsx; app/features/page.tsx; app/landing/page.tsx; app/support/page.tsx; app/dashboard/history/page.tsx; app/blog/[id]/page.tsx; components/Footer.tsx; components/admin/RealTimeCostDashboard.tsx; components/auth/AuthErrorHandler.tsx; components/auth/AuthModal.tsx; components/invite/InviteRedemptionPage.tsx; components/panels/SourcesPanel.tsx; components/sections/TrustSignals.tsx; components/ui/BlogCard.tsx; components/ui/language-selector.tsx; components/workflow/workflow-builder.tsx; components/workflow/workflow-dashboard.tsx; components/workspace/EnhancedDocumentInterface.tsx","Consider tokenizing"
"sizing","h-16","30","app/beta/page.tsx; app/demo/page.tsx; app/features/page.tsx; app/landing/page.tsx; app/support/page.tsx; app/dashboard/history/page.tsx; components/ErrorBoundary.tsx; components/auth/InviteRedemptionModal.tsx; components/dashboard/DashboardLayout.tsx; components/documents/AgentVisualization.tsx; components/documents/DocumentUpload.tsx; components/documents/SmartDocumentWorkflow.tsx; components/invite/InviteRedemptionPage.tsx; components/error-tracking/ErrorReportDialog.tsx; components/onboarding/AIOnboarding.tsx; components/onboarding/SmartUserJourney.tsx; components/optimization/OptimizedComponentWrapper.tsx; components/layouts/NotebookLMLayout.tsx; components/layouts/UnifiedLayout.tsx; components/pricing/PricingPage.tsx; components/sections/ProductShowcase.tsx; components/sections/TrustSignals.tsx; components/ui/ErrorBoundary.tsx; components/ui/FallbackStates.tsx; components/workspace/DocumentInteractionHub.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/__tests__/layout/navbar.test.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; lib/error-tracking/error-boundary.tsx","Consider tokenizing"
"spacing","space-y-4","52","app/beta/page.tsx; app/admin/monitor/page.tsx; app/dashboard/analytics/page.tsx; app/dashboard/documents/page.tsx; app/dashboard/settings/page.tsx; components/agents/AIInterfaceRefinement.tsx; components/agents/AgentSwarmInterface.tsx; components/admin/RealTimeCostDashboard.tsx; components/accessibility/AccessibilityPanel.tsx; components/analytics/ConsentBanner.tsx; components/analytics/analytics-dashboard.tsx; components/auth/InviteRedemptionModal.tsx; components/billing/BillingPage.tsx; components/documents/AgentVisualization.tsx; components/documents/BatchUpload.tsx; components/documents/DocumentPreview.tsx; components/documents/DocumentUpload.tsx; components/documents/EnhancedDocumentUpload.tsx; components/documents/SmartDocumentWorkflow.tsx; components/monitoring/PerformanceAccessibilityMonitor.tsx; components/monitoring/ProductionDashboard.tsx; components/onboarding/SmartUserJourney.tsx; components/optimization/LazyComponentLoader.tsx; components/optimization/LazyWrapper.tsx; components/navigation/ModernNavbar.tsx; components/pricing/PricingPage.tsx; components/security/two-factor-setup.tsx; components/sections/CommunityProof.tsx; components/sections/ProductShowcase.tsx; components/ui/Skeleton.tsx; components/workflow/workflow-builder.tsx; components/workflow/workflow-dashboard.tsx; components/workflows/AutomationManager.tsx; components/workflows/TemplateMarketplace.tsx; components/workflows/WorkflowBuilder.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/BatchProcessingInterface.tsx; components/workspace/ContextualAssistant.tsx; components/workspace/DocumentInteractionHub.tsx; components/workspace/DownloadInterface.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/IntelligenceHub.tsx; components/workspace/PersonalizedRecommendations.tsx; components/workspace/SettingsDashboard.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/SwarmIntelligenceDashboard.tsx; components/workspace/WorkspaceSkeleton.tsx; components/__tests__/layout/navbar.test.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx; components/workspace/dashboard/PredictiveInsights.tsx","Consider tokenizing"
"other","label-md3","2","app/beta/page.tsx; app/admin/invites/page.tsx","OK"
"other","input-base","7","app/beta/page.tsx; app/enterprise/page.tsx; app/support/page.tsx; app/admin/invites/page.tsx; app/dashboard/history/page.tsx; app/dashboard/settings/page.tsx; components/auth/AuthModal.tsx","Consider tokenizing"
"other","field-error","1","app/beta/page.tsx","OK"
"other","btn-md3-filled","3","app/beta/page.tsx; app/support/page.tsx; app/admin/invites/page.tsx","OK"
"colors","border-current","4","app/beta/page.tsx; app/admin/invites/page.tsx; components/pricing/PricingPage.tsx; components/ui/Button.tsx","Consider tokenizing"
"colors","border-t-transparent","16","app/beta/page.tsx; app/admin/invites/page.tsx; app/dashboard/agents/page.tsx; components/agents/VoiceControlInterface.tsx; components/documents/AgentVisualization.tsx; components/documents/BatchUpload.tsx; components/documents/EnhancedDocumentUpload.tsx; components/documents/SmartDocumentWorkflow.tsx; components/invite/InviteRedemptionPage.tsx; components/error-tracking/ErrorReportDialog.tsx; components/monitoring/ProductionDashboard.tsx; components/pricing/PricingPage.tsx; components/performance/PerformanceDashboard.tsx; components/transitions/PageTransition.tsx; components/sections/ProductShowcase.tsx; components/ui/Button.tsx","Consider tokenizing"
"spacing","mt-6","20","app/beta/page.tsx; app/dashboard/enterprise/insights/page.tsx; components/ErrorBoundary.tsx; components/ErrorBoundary/GlobalErrorBoundary.tsx; components/agents/AgentSwarmInterface.tsx; components/agents/VoiceControlInterface.tsx; components/auth/AuthModal.tsx; components/documents/EnhancedDocumentUpload.tsx; components/onboarding/AIFeatureIntroduction.tsx; components/onboarding/AIOnboarding.tsx; components/pricing/PricingPage.tsx; components/security/two-factor-setup.tsx; components/sections/ProductShowcase.tsx; components/ui/ErrorBoundary.tsx; components/workspace/ApiDeveloperPortal.tsx; components/workspace/EnhancedDocumentInterface.tsx; components/workspace/EnterpriseDashboard.tsx; components/workspace/SimpleTranslationInterface.tsx; components/workspace/dashboard/CrossDocumentIntelligence.tsx; components/workspace/dashboard/EnterpriseFeatures.tsx","Consider tokenizing"
"spacing","pt-6","4","app/beta/page.tsx; components/documents/EnhancedDocumentUpload.tsx; components/navigation/ModernNavbar.tsx; components/ui/ErrorBoundary.tsx","Consider tokenizing"
"spacing","mt-8","8","app/beta/page.tsx; app/demo/page.tsx; app/admin/invites/page.tsx; app/dashboard/agents/page.tsx; components/admin/MonitoringDashboard.tsx; components/billing/BillingPage.tsx; components/onboarding/AIOnboarding.tsx; components/sections/ModernHero.tsx","Consider tokenizing"
